Station Name,RoadSurfaceTemperature,AirTemperature
AlbroPlaceAirportWay,92.7,80.9
AlbroPlaceAirportWay,92.7,80.8
AlbroPlaceAirportWay,92.7,80.7
AlbroPlaceAirportWay,92.7,80.6
AlbroPlaceAirportWay,92.7,80.5
AlbroPlaceAirportWay,92.7,80.4
AlbroPlaceAirportWay,92.7,80.3
AlbroPlaceAirportWay,92.7,80.2
AlbroPlaceAirportWay,91.4,85
AlbroPlaceAirportWay,91.4,85.1
AlbroPlaceAirportWay,91.4,85.2
AlbroPlaceAirportWay,91.5,85.2
AlbroPlaceAirportWay,91.5,85.1
AlbroPlaceAirportWay,91.5,85.1
AlbroPlaceAirportWay,91.5,85.1
AlbroPlaceAirportWay,91.5,85.3
AlbroPlaceAirportWay,91.5,85.3
AlbroPlaceAirportWay,91.5,85.3
AlbroPlaceAirportWay,91.5,85.2
AlbroPlaceAirportWay,91.5,85.2
AlbroPlaceAirportWay,91.6,85.3
AlbroPlaceAirportWay,91.6,85.4
AlbroPlaceAirportWay,91.6,85.3
SpokaneSwingBridge,96.7,81.9
SpokaneSwingBridge,96.6,81.9
SpokaneSwingBridge,96.6,81.8
SpokaneSwingBridge,96.5,81.8
SpokaneSwingBridge,96.4,81.9
SpokaneSwingBridge,96.4,81.9
SpokaneSwingBridge,96.3,81.8
SpokaneSwingBridge,96.3,81.8
SpokaneSwingBridge,96.2,81.7
SpokaneSwingBridge,96.1,81.7
SpokaneSwingBridge,92.3,80.6
SpokaneSwingBridge,92.3,80.6
SpokaneSwingBridge,92.2,80.6
MagnoliaBridge,90.1,81.4
MagnoliaBridge,90.1,81.3
MagnoliaBridge,90,81.3
MagnoliaBridge,89.9,81.3
MagnoliaBridge,89.9,81.2
MagnoliaBridge,89.8,81.2
MagnoliaBridge,89.7,81.2
MagnoliaBridge,89.7,81.1
MagnoliaBridge,89.6,81.1
MagnoliaBridge,89.5,81.1
MagnoliaBridge,89.5,81.1
MagnoliaBridge,89.4,81
MagnoliaBridge,89.3,81
MagnoliaBridge,89.3,80.9
MagnoliaBridge,89.2,80.9
HarborAveUpperNorthBridge,93,80.7
HarborAveUpperNorthBridge,93,80.7
HarborAveUpperNorthBridge,92.9,80.7
HarborAveUpperNorthBridge,92.8,80.7
HarborAveUpperNorthBridge,92.8,80.7
HarborAveUpperNorthBridge,92.7,80.7
HarborAveUpperNorthBridge,92.7,80.7
HarborAveUpperNorthBridge,92.6,80.7
HarborAveUpperNorthBridge,92.6,80.7
HarborAveUpperNorthBridge,92.5,80.7
HarborAveUpperNorthBridge,92.5,80.6
HarborAveUpperNorthBridge,92.4,80.6
HarborAveUpperNorthBridge,92.3,80.6
HarborAveUpperNorthBridge,92.3,80.6
HarborAveUpperNorthBridge,92.2,80.6
AlbroPlaceAirportWay,92.2,76.84
AlbroPlaceAirportWay,92.2,76.82
AlbroPlaceAirportWay,92.2,76.78
AlbroPlaceAirportWay,92.2,76.67
AlbroPlaceAirportWay,92.2,76.57
AlbroPlaceAirportWay,92.2,76.56
AlbroPlaceAirportWay,92.2,76.5
AlbroPlaceAirportWay,92.2,76.49
AlbroPlaceAirportWay,92.2,76.45
AlbroPlaceAirportWay,92.2,76.4
AlbroPlaceAirportWay,92.2,76.35
AlbroPlaceAirportWay,92.1,76.27
AlbroPlaceAirportWay,92.1,76.23
AlbroPlaceAirportWay,92.1,76.2
AlbroPlaceAirportWay,92.1,76.2
HarborAveUpperNorthBridge,87.4,75.86
HarborAveUpperNorthBridge,87.4,75.8
HarborAveUpperNorthBridge,87.3,75.75
HarborAveUpperNorthBridge,87.3,75.71
HarborAveUpperNorthBridge,87.2,75.67
HarborAveUpperNorthBridge,87.2,75.63
HarborAveUpperNorthBridge,87.1,75.58
HarborAveUpperNorthBridge,87.1,75.5
HarborAveUpperNorthBridge,87,75.43
HarborAveUpperNorthBridge,87,75.41
HarborAveUpperNorthBridge,86.9,75.37
HarborAveUpperNorthBridge,86.9,75.36
HarborAveUpperNorthBridge,86.8,75.32
HarborAveUpperNorthBridge,86.8,75.32
HarborAveUpperNorthBridge,86.7,75.31
RooseveltWay_NE80thSt,81.4,81.4
RooseveltWay_NE80thSt,81.4,81.4
RooseveltWay_NE80thSt,81.4,81.4
RooseveltWay_NE80thSt,81.3,81.3
RooseveltWay_NE80thSt,81.3,81.3
RooseveltWay_NE80thSt,81.3,81.3
RooseveltWay_NE80thSt,81.3,81.3
RooseveltWay_NE80thSt,81.2,81.2
RooseveltWay_NE80thSt,81.2,81.2
RooseveltWay_NE80thSt,81.2,81.2
RooseveltWay_NE80thSt,81.2,81.2
RooseveltWay_NE80thSt,81.1,81.1
RooseveltWay_NE80thSt,81.1,81.1
RooseveltWay_NE80thSt,81.1,81.1
RooseveltWay_NE80thSt,81.1,81.1
MagnoliaBridge,84.1,75.35
MagnoliaBridge,84,75.35
MagnoliaBridge,84,75.37
MagnoliaBridge,84,75.37
MagnoliaBridge,83.9,75.39
MagnoliaBridge,83.9,75.39
MagnoliaBridge,83.9,75.35
MagnoliaBridge,83.8,75.32
MagnoliaBridge,83.8,75.25
MagnoliaBridge,83.8,75.2
MagnoliaBridge,83.7,75.19
MagnoliaBridge,83.7,75.18
MagnoliaBridge,83.7,75.16
MagnoliaBridge,83.6,75.09
MagnoliaBridge,83.6,75.07
SpokaneSwingBridge,87.3,75.75
SpokaneSwingBridge,87.3,75.71
SpokaneSwingBridge,87.2,75.67
SpokaneSwingBridge,87.2,75.63
SpokaneSwingBridge,87.1,75.58
SpokaneSwingBridge,87.1,75.5
SpokaneSwingBridge,87,75.43
AlbroPlaceAirportWay,92.5,78.13
AlbroPlaceAirportWay,92.4,78.08
AlbroPlaceAirportWay,92.4,78.08
AlbroPlaceAirportWay,92.4,78.08
AlbroPlaceAirportWay,92.4,78.03
AlbroPlaceAirportWay,92.4,77.92
AlbroPlaceAirportWay,92.4,77.91
AlbroPlaceAirportWay,92.4,77.91
AlbroPlaceAirportWay,92.4,77.88
AlbroPlaceAirportWay,92.4,77.85
AlbroPlaceAirportWay,92.4,77.8
AlbroPlaceAirportWay,92.4,77.75
AlbroPlaceAirportWay,92.3,77.72
AlbroPlaceAirportWay,92.3,77.59
AlbroPlaceAirportWay,92.3,77.45
RooseveltWay_NE80thSt,82.1,82.1
RooseveltWay_NE80thSt,82,82
RooseveltWay_NE80thSt,82,82
RooseveltWay_NE80thSt,82,82
RooseveltWay_NE80thSt,81.9,81.9
RooseveltWay_NE80thSt,81.9,81.9
RooseveltWay_NE80thSt,81.9,81.9
RooseveltWay_NE80thSt,81.8,81.8
RooseveltWay_NE80thSt,81.8,81.8
RooseveltWay_NE80thSt,81.8,81.8
RooseveltWay_NE80thSt,81.7,81.7
RooseveltWay_NE80thSt,81.7,81.7
RooseveltWay_NE80thSt,81.7,81.7
RooseveltWay_NE80thSt,81.7,81.7
RooseveltWay_NE80thSt,81.6,81.6
MagnoliaBridge,84.9,76.17
MagnoliaBridge,84.9,76.12
MagnoliaBridge,84.8,76.06
MagnoliaBridge,84.8,76.01
MagnoliaBridge,84.8,75.95
MagnoliaBridge,84.7,75.88
MagnoliaBridge,84.7,75.81
MagnoliaBridge,84.7,75.74
MagnoliaBridge,84.6,75.68
MagnoliaBridge,84.6,75.61
MagnoliaBridge,84.5,75.56
MagnoliaBridge,84.5,75.51
MagnoliaBridge,84.4,75.45
MagnoliaBridge,84.4,75.4
MagnoliaBridge,84.3,75.37
SpokaneSwingBridge,88.2,76.68
SpokaneSwingBridge,88.2,76.67
SpokaneSwingBridge,88.1,76.67
SpokaneSwingBridge,88.1,76.66
SpokaneSwingBridge,88,76.63
SpokaneSwingBridge,88,76.6
SpokaneSwingBridge,88,76.49
SpokaneSwingBridge,87.9,76.44
SpokaneSwingBridge,87.9,76.4
SpokaneSwingBridge,87.8,76.36
SpokaneSwingBridge,87.8,76.35
SpokaneSwingBridge,87.7,76.31
SpokaneSwingBridge,87.7,76.25
SpokaneSwingBridge,87.6,76.15
SpokaneSwingBridge,87.6,76.06
HarborAveUpperNorthBridge,88.2,76.68
HarborAveUpperNorthBridge,88.2,76.67
HarborAveUpperNorthBridge,88.1,76.67
HarborAveUpperNorthBridge,88.1,76.66
HarborAveUpperNorthBridge,88,76.63
HarborAveUpperNorthBridge,88,76.6
HarborAveUpperNorthBridge,88,76.49
HarborAveUpperNorthBridge,87.9,76.44
HarborAveUpperNorthBridge,87.9,76.4
HarborAveUpperNorthBridge,87.8,76.36
HarborAveUpperNorthBridge,87.8,76.35
HarborAveUpperNorthBridge,87.7,76.31
HarborAveUpperNorthBridge,87.7,76.25
HarborAveUpperNorthBridge,87.6,76.15
HarborAveUpperNorthBridge,87.6,76.06
AlbroPlaceAirportWay,83.9,80
AlbroPlaceAirportWay,83.9,79.8
AlbroPlaceAirportWay,84,79.68
AlbroPlaceAirportWay,84,79.74
AlbroPlaceAirportWay,84,79.77
AlbroPlaceAirportWay,84,79.95
AlbroPlaceAirportWay,84.1,80.1
AlbroPlaceAirportWay,84.1,79.91
AlbroPlaceAirportWay,84.1,79.92
AlbroPlaceAirportWay,84.2,79.99
AlbroPlaceAirportWay,84.2,79.98
AlbroPlaceAirportWay,84.2,79.95
AlbroPlaceAirportWay,84.2,80.2
AlbroPlaceAirportWay,84.2,80.3
